County,2017 Population,Net Domestic Migration,Domestic Migration Rate,Net International Migration,International Migration Rate,Natural Change
"Washington County, NY","61,620",-126,-2,22,0.4,-80
"Washington County, OH","60,418",8,0.1,13,0.2,-134
"Washington County, OK","51,932",-80,-1.5,89,1.7,11
"Washington County, OR","588,957",499,0.9,"2,115",3.6,"3,618"
"Washington County, PA","207,298",394,1.9,132,0.6,-556
"Washington County, RI","126,150",424,3.4,91,0.7,-336
"Washington County, TN","127,806",449,3.5,130,1,9
"Washington County, TX","35,043",113,3.2,66,1.9,45
"Washington County, UT","165,662","5,535",34.1,-39,-0.2,901
"Washington County, VA","54,387",239,4.4,7,0.1,-94
"Washington County, VT","58,290",-105,-1.8,11,0.2,20
"Washington County, WI","135,101",402,3,93,0.7,244
"Washington Parish, LA","46,633",199,4.3,-16,-0.3,28
"Washita County, OK","11,134",-348,-30.8,3,0.3,3
"Washoe County, NV","460,587","5,831",12.8,577,1.3,"1,716"
"Washtenaw County, MI","367,627",-701,-1.9,"2,265",6.2,"1,320"
"Watauga County, NC","55,121",967,17.7,30,0.5,17
"Watonwan County, MN","10,840",-149,-13.7,29,2.7,50
"Waukesha County, WI","400,621","1,425",3.6,548,1.4,455
"Waupaca County, WI","51,225",41,0.8,20,0.4,-189
"Waushara County, WI","24,369",241,9.9,16,0.7,-19
"Wayne County, GA","29,817",-234,-7.8,23,0.8,41
"Wayne County, IL","16,495",-119,-7.2,13,0.8,29
"Wayne County, IN","66,185",-343,-5.2,27,0.4,-89
"Wayne County, KY","20,716",-111,-5.4,10,0.5,64
"Wayne County, MI","1,753,616","-12,416",-7.1,"4,396",2.5,"5,022"
"Wayne County, MO","13,296",144,10.9,-1,-0.1,-51
"Wayne County, MS","20,446",-84,-4.1,-5,-0.2,86
"Wayne County, NC","124,172",-885,-7.1,291,2.3,289
"Wayne County, NY","90,670",-441,-4.9,63,0.7,123
"Wayne County, OH","116,038",-897,-7.7,103,0.9,406
"Wayne County, PA","51,205",143,2.8,-2,0,-163
"Wayne County, TN","16,583",-13,-0.8,1,0.1,-69
"Wayne County, WV","40,153",-388,-9.6,0,0,-140
"Waynesboro city, VA","22,327",350,15.9,42,1.9,132
"Weakley County, TN","33,337",-247,-7.4,28,0.8,-14
"Webb County, TX","274,794","-2,827",-10.3,"1,319",4.8,"3,895"
"Weber County, UT","251,769","1,811",7.3,239,1,"2,390"
"Webster County, IA","36,605",-219,-6,48,1.3,24
"Webster County, KY","13,018",-158,-12.1,14,1.1,-12
"Webster County, MO","38,665",373,9.7,-3,-0.1,231
"Webster Parish, LA","39,378",-419,-10.6,17,0.4,-15
"Weld County, CO","304,633","7,419",24.8,203,0.7,"2,727"
"Wells County, IN","27,984",36,1.3,20,0.7,90
"West Baton Rouge Parish, LA","26,265",140,5.4,13,0.5,174
"West Carroll Parish, LA","10,981",-131,-11.9,3,0.3,-19
"West Feliciana Parish, LA","15,380",72,4.7,1,0.1,-20
"Westchester County, NY","980,244","-6,795",-6.9,"5,332",5.4,"3,083"
"Westmoreland County, PA","352,627",-860,-2.4,82,0.2,"-1,368"
"Westmoreland County, VA","17,780",132,7.4,-3,-0.2,-8
"Wetzel County, WV","15,437",-144,-9.3,0,0,-60
"Wexford County, MI","33,276",97,2.9,11,0.3,80
"Wharton County, TX","41,968",139,3.3,24,0.6,175
"Whatcom County, WA","221,404","3,950",18,421,1.9,737
"White County, AR","79,016",28,0.4,58,0.7,93
"White County, GA","29,453",609,20.9,24,0.8,-8
"White County, IL","13,938",-100,-7.1,7,0.5,-56
"White County, IN","24,182",55,2.3,27,1.1,1
"White County, TN","26,753",354,13.3,3,0.1,-56
"Whiteside County, IL","56,118",-462,-8.2,13,0.2,25
"Whitfield County, GA","104,658",-788,-7.5,138,1.3,611
"Whitley County, IN","33,756",171,5.1,12,0.4,91
"Whitley County, KY","36,214",-40,-1.1,7,0.2,145
"Whitman County, WA","49,046",-63,-1.3,395,8.1,187
"Wichita County, TX","132,000",43,0.3,330,2.5,323
"Wicomico County, MD","102,923",-328,-3.2,471,4.6,197
"Wilbarger County, TX","12,764",-171,-13.3,17,1.3,24
"Wilcox County, AL","10,719",-165,-15.3,0,0,8
"Wilkes County, NC","68,576",14,0.2,51,0.7,-120
"Will County, IL","692,661","-1,081",-1.6,793,1.1,"3,226"
"Willacy County, TX","21,584",-313,-14.4,32,1.5,103
"Williams County, ND","33,349","-1,299",-38.5,6,0.2,438
"Williams County, OH","36,784",-163,-4.4,-6,-0.2,32
"Williamsburg city, VA","15,031",-45,-3,140,9.3,-15
"Williamsburg County, SC","31,133",-667,-21.2,15,0.5,-65
"Williamson County, IL","67,328",-420,-6.2,68,1,42
"Williamson County, TN","226,257","5,797",26,440,2,"1,135"
"Williamson County, TX","547,545","14,494",27,"1,250",2.3,"3,963"
"Wilson County, NC","81,671",59,0.7,107,1.3,77
"Wilson County, TN","136,442","3,434",25.5,98,0.7,463
"Wilson County, TX","49,304",899,18.4,26,0.5,187
"Winchester city, VA","27,932",118,4.3,152,5.5,97
"Windham County, CT","116,359",-30,-0.3,303,2.6,49
"Windham County, VT","42,869",-249,-5.8,39,0.9,-67
"Windsor County, VT","55,100",-21,-0.4,8,0.1,-77
"Winn Parish, LA","14,311",-190,-13.2,-2,-0.1,-30
"Winnebago County, IA","10,587",-5,-0.5,0,0,-8
"Winnebago County, IL","284,778","-2,566",-9,444,1.6,807
"Winnebago County, WI","170,414",306,1.8,124,0.7,432
"Winneshiek County, IA","20,201",-194,-9.6,2,0.1,-18
"Winona County, MN","50,873",-122,-2.4,78,1.5,46
"Winston County, AL","23,722",-74,-3.1,1,0,-90
"Winston County, MS","18,246",-84,-4.6,-1,-0.1,-27
"Wise County, TX","66,181","1,459",22.3,49,0.8,204
"Wise County, VA","38,586",-377,-9.7,9,0.2,-80
"Wood County, OH","130,492",306,2.4,209,1.6,277
"Wood County, TX","44,314",698,15.8,2,0,-212
"Wood County, WI","73,126",-150,-2.1,18,0.2,65
"Wood County, WV","85,104",-472,-5.5,-19,-0.2,-121
"Woodbury County, IA","102,429","-1,130",-11,228,2.2,622
"Woodford County, IL","38,726",-249,-6.4,14,0.4,26
"Woodford County, KY","26,368",193,7.4,9,0.3,76
"Woodward County, OK","20,459",-533,-25.8,41,2,26
"Worcester County, MA","826,116",-341,-0.4,"4,169",5.1,"1,639"
"Worcester County, MD","51,690",370,7.2,47,0.9,-238
"Worth County, GA","20,533",-178,-8.6,-1,0,-6
"Wright County, IA","12,784",-68,-5.3,19,1.5,16
"Wright County, MN","134,286",903,6.8,82,0.6,920
"Wright County, MO","18,331",47,2.6,-1,-0.1,12
"Wyandot County, OH","22,029",-10,-0.5,5,0.2,-6
"Wyandotte County, KS","165,288","-1,191",-7.2,739,4.5,"1,324"
"Wyoming County, NY","40,493",18,0.4,16,0.4,21
"Wyoming County, PA","27,322",-121,-4.4,12,0.4,-67
"Wyoming County, WV","21,210",-394,-18.3,0,0,-149
"Wythe County, VA","28,882",26,0.9,3,0.1,-86
"Yadkin County, NC","37,774",35,0.9,32,0.8,-15
"Yakima County, WA","250,193","-1,172",-4.7,127,0.5,"1,915"
"Yalobusha County, MS","12,497",20,1.6,0,0,-13
"Yamhill County, OR","105,722","1,209",11.5,98,0.9,294
"Yancey County, NC","17,744",150,8.5,2,0.1,-29
"Yankton County, SD","22,662",-51,-2.3,4,0.2,84
"Yates County, NY","24,955",-153,-6.1,18,0.7,68
"Yavapai County, AZ","228,168","4,735",20.9,57,0.3,"-1,008"
"Yazoo County, MS","27,057",-197,-7.3,19,0.7,28
"Yell County, AR","21,523",-21,-1,32,1.5,27
"Yellowstone County, MT","158,980",815,5.1,3,0,520
"Yolo County, CA","219,116",726,3.3,"1,363",6.3,"1,066"
"York County, ME","204,191","1,897",9.3,124,0.6,-55
"York County, NE","13,806",20,1.5,9,0.7,17
"York County, PA","446,078",666,1.5,732,1.6,903
"York County, SC","266,439","7,268",27.7,161,0.6,984
"York County, VA","67,739",-287,-4.2,159,2.3,125
"Young County, TX","17,979",-88,-4.9,15,0.8,-27
"Yuba County, CA","77,031","1,088",14.3,116,1.5,640
"Yuma County, AZ","207,534",-113,-0.5,779,3.8,"1,409"
"Yuma County, CO","10,075",-152,-15.1,52,5.2,57
"Zapata County, TX","14,322",-308,-21.4,26,1.8,155
"Zavala County, TX","11,948",-264,-22,40,3.3,82
